gene,Adjusted_group,fine_label_AF
PLIN1,Adipocytes,Adipocytes
PPARG,Adipocytes,Adipocytes
ADIPOQ,Adipocytes,Adipocytes
IGHG4,B_plasma cells,B_Plasma cells IGHG+
IGHG2,B_plasma cells,B_Plasma cells IGHG+
CD38,B_plasma cells,-
CD79A,B_plasma cells,-
MZB1,B_plasma cells,-
IGHM,B_plasma cells,B_Plasma cells IGHM+
IGHA1,B_plasma cells,B_Plasma cells IGHA+
JCHAIN,B_plasma cells,-
XBP1,B_plasma cells,-
CD207,Dendritic cells,Dendritic cells
LAMP3,Dendritic cells,Dendritic cells
CCL22,Dendritic cells,Dendritic cells
LGALS2,Dendritic cells,Dendritic cells
SEMA3G,Endothelial,Endothelial (arterial)
TCF15,Endothelial,Endothelial (capillary)
PROX1,Endothelial,Endothelial (lymphatic)
APBA2,Endothelial,Endothelial (lymphatic)
RELN,Endothelial,Endothelial (lymphatic)
SELP,Endothelial,Endothelial (venous)
PLVAP,Endothelial,Endothelial (venous)
FLT1,Endothelial,-
CLDN5,Endothelial,-
SOX17,Endothelial,Endothelial (arterial)
MECOM,Endothelial,-
TGFBR3,Endothelial,-
LDLR,Endothelial,-
PECAM1,Endothelial,-
CSF1,Endothelial,-
IL6ST,Endothelial,-
RORA,Endothelial,-
TIE1,Endothelial,-
TAP1,Endothelial,-
GPIHBP1,Endothelial,Endothelial (capillary)
VWF,Endothelial,-
ENG,Endothelial,-
FGF10,Fibroblast,-
TFAP2B,Fibroblast,-
LAMC3,Fibroblast,-
PTCH1,Fibroblast,-
EGR2,Fibroblast,-
GPC3,Fibroblast,-
DLK1,Fibroblast,-
OGN,Fibroblast,-
AXL,Fibroblast,-
TMEM45A,Fibroblast,-
GPNMB,Fibroblast,-
IGF1,Fibroblast,-
SNAI2,Fibroblast,-
NCAM1,Fibroblast,-
GDF15,Fibroblast,-
PLAT,Fibroblast,-
CCL2,Fibroblast,-
MYC,Fibroblast,-
EGR1,Fibroblast,Fibroblast - EGR1+
EGR3,Fibroblast,-
LTA,Fibroblast,-
PLTP,Fibroblast,-
CD99,Fibroblast,-
TIMP2,Fibroblast,-
IL6,Fibroblast,Fibroblast - inflammatory
PDGFC,Fibroblast,-
POSTN,Fibroblast,Fibroblast - matrix
COL5A1,Fibroblast,Fibroblast - matrix
COL11A1,Fibroblast,Fibroblast - matrix
INHBA,Fibroblast,-
THBS2,Fibroblast,-
VCAN,Fibroblast,-
FAP,Fibroblast,-
ADAM12,Fibroblast,-
COL5A2,Fibroblast,-
FBN1,Fibroblast,-
CXCL12,Fibroblast,-
FBLN1,Fibroblast,-
IGFBP4,Fibroblast,-
CXCL14,Fibroblast,Fibroblast - iCAF
THY1,Fibroblast,Fibroblast - THY1+
MMP2,Fibroblast,-
SERPINF1,Fibroblast,-
SDC1,Fibroblast,-
SERPINE1,Fibroblast,Fibroblast - SERPINE1+
TNC,Fibroblast,-
COMP,Fibroblast,Fibroblast - matrix
NT5E,Fibroblast,-
NID2,Fibroblast,-
PDPN,Fibroblast,Fibroblast - matrix
OAS2,Fibroblast,-
APOD,Fibroblast,Fibroblast - iCAF
FGFR1,Fibroblast,-
ITGB5,Fibroblast,-
ITGA1,Fibroblast,Fibroblast - THY1+
CD70,Fibroblast,-
TNFRSF19,Fibroblast,-
BGN,Fibroblast,-
CD44,Fibroblast,-
COL6A1,Fibroblast,-
COL6A2,Fibroblast,-
THBS1,Fibroblast,-
IGFBP5,Fibroblast,Fibroblast - IGFBP5+
COL14A1,Fibroblast,-
MMP1,Fibroblast,-
TNFRSF11B,Fibroblast,-
HAS2,Fibroblast,-
RASGRP4,Mast cells,Mast cells
MRGPRX2,Mast cells,Mast cells
