cell_type,sample,symbol,count
Immune,OV82,AADAC,0.01312910284463895
Immune,OV85,AADAC,0.010676156583629894
Immune,OV86,AADAC,0.007957559681697613
Immune,OV87,AADAC,0.01791044776119403
Immune,OV88,AADAC,0.016819571865443424
Immune,OV92,AADAC,0.0110803324099723
Immune,OV93,AADAC,0.0102880658436214
Immune,OV96,AADAC,0.015068493150684932
Immune,OV97,AADAC,0.014096916299559472
Immune,OV100,AADAC,0.011138613861386138
Immune,OV101,AADAC,0.0051813471502590676
Immune,OV104,AADAC,0.011668611435239206
Immune,OV105,AADAC,0.010222804718217562
Immune,OV109,AADAC,0.005416792055371652
Immune,OV110,AADAC,0.009900990099009901
Immune,OV111,AADAC,0.0
Immune,OV113,AADAC,0.0
Immune,OV115,AADAC,0.015432098765432098
Immune,OV116,AADAC,0.019337016574585635
Immune,OV122,AADAC,0.008710801393728223
Immune,OV124,AADAC,0.015236567762630313
Immune,OV125,AADAC,0.005574481263549086
Immune,OV126,AADAC,0.005436658612357611
Immune,OV128,AADAC,0.004533091568449683
Immune,OV130,AADAC,0.004615384615384616
Immune,OV131,AADAC,0.07115009746588694
Immune,OV132,AADAC,0.007251908396946565
Immune,OV133,AADAC,0.009174311926605505
Immune,OV134,AADAC,0.0
Immune,OV135,AADAC,0.0018867924528301887
Immune,OV136,AADAC,0.005272407732864675
Immune,OV139,AADAC,0.0034129692832764505
Immune,OV140,AADAC,0.012089810017271158
Immune,OV143,AADAC,0.015723270440251572
Immune,OV145,AADAC,0.003029155622870125
Immune,OV146,AADAC,0.011594202898550725
Immune,OV148,AADAC,0.005263157894736842
Immune,OV149,AADAC,0.011267605633802818
Immune,OV152,AADAC,0.0026109660574412533
Immune,OV155,AADAC,0.01109789932619897
Immune,OV156,AADAC,0.012032660077352814
Immune,OV157,AADAC,0.00351288056206089
Immune,OV159,AADAC,0.005494505494505495
Immune,OV163,AADAC,0.02724177071509648
Immune,OV165,AADAC,0.01098901098901099
Immune,OV168,AADAC,0.001287001287001287
Immune,OV169,AADAC,0.008738394320043691
Immune,OV174,AADAC,0.007429420505200594
Immune,OV177,AADAC,0.004545454545454545
Immune,OV178,AADAC,0.01273148148148148
Immune,OV181,AADAC,0.006845708267509215
Immune,OV182,AADAC,0.0057306590257879654
Immune,OV185,AADAC,0.013222331047992164
Immune,OV190,AADAC,0.0013778849466069584
Immune,OV191,AADAC,0.0020526855969893944
Immune,OV192,AADAC,0.000531632110579479
Immune,OV193,AADAC,0.004377006127808579
Immune,OV194,AADAC,0.0
Immune,OV195,AADAC,0.0022026431718061676
Immune,OV197,AADAC,0.003443526170798898
Immune,OV205,AADAC,0.0
Immune,OV206,AADAC,0.0022271714922048997
Immune,OV207,AADAC,0.0
Immune,OV208,AADAC,0.03131634819532909
Immune,OV209,AADAC,0.004767580452920143
Immune,OV210,AADAC,0.007326007326007326
Immune,OV211,AADAC,0.024456521739130436
Immune,OV212,AADAC,0.001932367149758454
Immune,OV213,AADAC,0.007518796992481203
Immune,OV216,AADAC,0.0
Immune,OV218,AADAC,0.004338394793926247
Immune,OV219,AADAC,0.0031847133757961785
Stromal,OV82,AADAC,0.011387600168705188
Stromal,OV85,AADAC,0.006150541833447232
Stromal,OV86,AADAC,0.015151515151515152
Stromal,OV87,AADAC,0.010501750291715286
Stromal,OV88,AADAC,0.010813887307911212
Stromal,OV92,AADAC,0.010113780025284451
Stromal,OV93,AADAC,0.00675990675990676
Stromal,OV96,AADAC,0.009561752988047808
Stromal,OV97,AADAC,0.014641288433382138
Stromal,OV100,AADAC,0.016666666666666666
Stromal,OV101,AADAC,0.009927200529450696
Stromal,OV104,AADAC,0.00794392523364486
Stromal,OV105,AADAC,0.010089932002632156
Stromal,OV109,AADAC,0.011805859204197638
Stromal,OV110,AADAC,0.006878480183426138
Stromal,OV111,AADAC,0.045454545454545456
Stromal,OV113,AADAC,0.004675876726886291
Stromal,OV115,AADAC,0.0065125366330185605
Stromal,OV116,AADAC,0.012523481527864746
Stromal,OV122,AADAC,0.02109704641350211
Stromal,OV124,AADAC,0.00888990198313198
Stromal,OV125,AADAC,0.005038488453463961
Stromal,OV126,AADAC,0.00874485596707819
Stromal,OV128,AADAC,0.006371562709590879
Stromal,OV130,AADAC,0.004333333333333333
Stromal,OV131,AADAC,0.050387596899224806
Stromal,OV132,AADAC,0.013888888888888888
Stromal,OV133,AADAC,0.026726057906458798
Stromal,OV134,AADAC,0.0022611644997173543
Stromal,OV135,AADAC,0.005546311702717693
Stromal,OV136,AADAC,0.005659709939865582
Stromal,OV139,AADAC,0.001059322033898305
Stromal,OV140,AADAC,0.02004008016032064
Stromal,OV143,AADAC,0.011183597390493943
