sample,TMA
OV82,TMA5
OV85,TMA5
OV86,TMA5
OV87,TMA5
OV92,TMA5
OV93,TMA5
OV96,TMA5
OV97,TMA5
OV100,TMA5
OV101,TMA5
OV104,TMA5
OV105,TMA5
OV109,TMA5
OV110,TMA5
OV111,TMA5
OV113,TMA5
OV115,TMA5
OV116,TMA5
OV122,TMA5
OV124,TMA5
OV125,TMA5
OV126,TMA5
OV128,TMA5
OV130,TMA5
OV131,TMA5
OV132,TMA5
OV133,TMA5
OV134,TMA5
OV135,TMA5
OV136,TMA5
OV139,TMA5
OV140,TMA5
OV143,TMA5
OV145,TMA5
OV146,TMA5
OV148,TMA5
OV149,TMA5
OV152,TMA5
OV155,TMA5
OV156,TMA5
OV157,TMA5
OV159,TMA5
OV163,TMA5
OV165,TMA5
OV168,TMA5
OV169,TMA5
OV174,TMA5
OV177,TMA5
OV178,TMA5
OV181,TMA5
OV185,TMA5
OV190,TMA5
OV191,TMA5
OV192,TMA5
OV193,TMA5
OV194,TMA5
OV195,TMA5
OV197,TMA5
OV205,TMA5
OV206,TMA5
OV207,TMA5
OV208,TMA5
OV209,TMA5
OV210,TMA5
OV211,TMA5
OV212,TMA5
OV216,TMA5
OV218,TMA5
OV219,TMA5
OV2,TMA6
OV3,TMA6
OV4,TMA6
OV5,TMA6
OV7,TMA6
OV9,TMA6
OV10,TMA6
OV11,TMA6
OV13,TMA6
OV14,TMA6
OV16,TMA6
OV17,TMA6
OV18,TMA6
OV20,TMA6
OV21,TMA6
OV23,TMA6
OV24,TMA6
OV26,TMA6
OV27,TMA6
OV28,TMA6
OV29,TMA6
OV30,TMA6
OV31,TMA6
OV32,TMA6
OV34,TMA6
OV36,TMA6
OV37,TMA6
OV38,TMA6
OV40,TMA6
OV41,TMA6
OV45,TMA6
OV46,TMA6
OV48,TMA6
OV51,TMA6
OV52,TMA6
OV54,TMA6
OV55,TMA6
OV58,TMA6
OV60,TMA6
OV61,TMA6
OV62,TMA6
OV63,TMA6
OV64,TMA6
OV65,TMA6
OV66,TMA6
OV69,TMA6
OV72,TMA6
OV73,TMA6
OV74,TMA6
OV75,TMA6
OV76,TMA6
OV78,TMA6
OV79,TMA6
